SampleID,DIL1,DIL2,DIL3,DIL4,DIL5,OA1,OA2,OA3,OA4,OA5
1700029I15Rik,35.78126525,21.79643145,10.44977541,17.67496242,6.052387439,31.48881019,18.66075476,17.58477672,0,25.5932104
1700029J07Rik,0,12.40059537,0,34.83218974,11.52621862,26.30375438,3.334604108,2.681528616,0,12.3867957
1700030C10Rik,95.3012293,32.66453587,33.36368566,34.96071333,49.46894511,24.3240887,30.17951081,12.78866841,62.03850931,18.44294577
1700030J22Rik,115.1131554,28.70431406,5.48417879,17.79950675,28.20386849,12.90637955,23.92890818,22.90541376,0,4.232621671
1700030K09Rik,66.24845322,6.796384692,16.09168004,14.50954677,7.721316025,15.15096578,30.5093862,29.39982398,17.92958976,3.994521406
1700031F05Rik,0,6.663836547,10.85695306,0,10.77624675,3.653813156,13.18640673,31.23331357,0,12.00905872
1700031L13Rik,0,0,0,2.915660842,2.855800674,0,0,0,6.108259865,2.814301211
1700031M16Rik,0,0.827148853,0,3.608925211,4.327409625,1.819894535,2.326139218,14.20300735,5.590402885,4.145245283
1700034E13Rik,0,2.485302978,0,0,2.116915815,0,2.444360342,0,0,0
1700034I23Rik,0,9.348339575,0,17.85485588,9.483790688,35.54343543,3.96537203,10.63151555,0,46.64660969
1700034J05Rik,0,6.518442297,0,11.69084577,36.3816587,52.97103385,9.856224661,2.82021329,21.54391807,0
1700037C18Rik,9.409515763,34.42937017,55.94426177,7.775838441,32.78426652,31.33834721,40.82474899,16.13509515,22.91310575,27.10128953
1700037H04Rik,0,32.01987516,61.52629787,20.45209774,12.83479336,101.501603,31.89989638,18.69911647,22.73901201,2.499363703
1700049E17Rik1,0,0,0,0,0,0,0,0,15.6141631,0
1700049E17Rik2,25.93056972,14.81985819,0,28.5081513,0,56.00263791,16.32387902,39.13799255,0,17.49415256
1700049L16Rik,10.89279178,0,0,0,0,0,0,0,0,8.890703347
1700056E22Rik,0,11.53314039,4.429504862,14.08932874,5.867069142,0,1.061637238,0,0,4.575105594
1700057G04Rik,0,7.184943892,16.97556602,26.76230003,15.89205406,28.58472733,21.0404367,17.30208115,5.405852901,66.10389619
1700063K16Rik,0,5.429413281,0,9.992486238,7.470208866,27.48774385,3.55772606,0.974650245,0,22.25171278
1700064H15Rik,0,0.490639894,0,0,13.63713327,0,0,0,0,22.83062374
1700065I16Rik,24.45354375,5.400163906,4.763468747,8.753282258,4.223890252,0,4.568741279,11.93225821,3.851671978,0
1700066B19Rik,48.59227872,11.51739339,10.63702228,7.856602514,7.224001003,3.129582242,14.59273597,16.00391671,51.67556081,16.86467399
1700066M21Rik,6.660843812,12.53186275,27.17341095,29.7777282,19.68231,0,13.5499403,6.917450076,12.61030673,9.986461405
1700067K01Rik,0,11.4191316,0,1.882416624,2.518358533,0,4.3682912,0,0,0
1700067P10Rik,21.45847047,4.991585686,0,0,12.44430801,0,11.42168773,6.32354112,0,7.289458525
1700069L16Rik,0,3.537863078,0,15.38740117,6.889637651,0,5.665611785,14.71200553,0,0
1700071K01Rik,0,0.998587319,0,3.82467586,3.137223954,18.66070564,3.972477352,0,0,22.15975438
1700073E17Rik,0,2.972242728,22.00827856,0.500354059,32.18757138,0,3.708928076,7.87584497,2.300121575,2.29958597
1700084J12Rik,0,15.27562628,0,10.35147508,28.43772466,14.96426172,1.586546448,11.70090991,6.642004533,8.595443095
1700084M14Rik,8.10642336,2.001292023,0,0,0,3.784963143,0,1.094631026,0,0
1700086D15Rik,0,1.494350372,0,17.1102327,3.153627264,24.32959754,0,1.068543427,6.653088442,0
1700086L19Rik,0,0,0,8.937138585,6.063359239,0,11.08881165,0,2.573857938,0
1700088E04Rik,6.039817661,21.13056489,14.21923267,12.7901991,28.77913663,36.65925658,18.86317335,3.571275878,15.56017722,3.219280026
1700091H14Rik,0,10.40189325,0,19.85762538,17.88570838,9.353831881,0,11.7255215,15.50872535,6.14813619
1700092M07Rik,0,0,0,0,7.924178979,0,0,1.502335787,0,0
1700093K21Rik,0,5.528500504,2.542325056,0.780959191,10.17958343,31.59048564,10.52456757,28.90983256,12.72868183,4.865221517
1700094D03Rik,9.883337299,8.894277189,18.71937396,1.699010196,55.38281383,3.388659518,25.84741223,50.17040889,0,8.889866118
1700102P08Rik,0,0.379997793,63.30645672,2.900681025,4.010734126,9.056855515,0,0,0,1.997895091
1700109H08Rik,24.32864295,13.62140808,0,8.957139848,20.61363532,0,26.93994499,0,28.2248039,25.64554608
1700113H08Rik,0,3.135268762,18.78910463,3.435473224,10.15640432,0,0,1.299337087,0,0
1700122O11Rik,0,0,0,1.920463579,1.047274086,5.608768506,1.592968603,2.14565144,0,0
1700123K08Rik,76.59820325,26.7864658,12.51311683,31.65169575,53.40242038,19.37397195,65.63180418,19.79981206,69.08307295,17.17018755
1700123L14Rik,0,4.937719791,4.768566619,7.542936927,5.266868708,16.84308271,18.2603434,0,0,0
1700123O20Rik,0,36.81713094,13.46337484,5.320396367,10.43155575,40.11111411,18.75209685,20.00791798,43.34020829,46.08271072
1700125H20Rik,0,0,0,2.626379392,1.192241172,0,11.81656187,2.452467261,20.2590245,0
1700128F08Rik,884.593262,455.8227931,2065.311733,661.1197299,1247.819146,980.940149,671.4709933,756.1839598,1012.643349,2759.379589
1700129C05Rik,0,2.301043293,0,0,19.42153699,33.68550562,8.222692056,5.756054886,0,0
1810009A15Rik,0,19.73138453,38.85628878,9.234426312,13.54399222,37.49672162,0.753278847,5.938963056,33.57636759,1.167394961
1810009J06Rik,0,5.008255436,0,0,0,0,0,0,0,0
1810010H24Rik,0,16.28116882,0,2.209550075,0,0,11.30675969,0.623692328,6.590785736,0
1810013L24Rik,146.5840257,45.50047664,4.791736481,61.29508413,28.79033825,25.93145757,33.94954114,0.639869103,36.7731595,14.48669965
1810014B01Rik,0,24.11581757,22.45336196,41.42784569,13.37365187,9.127895117,27.1686014,10.27266753,2.408648914,29.21090929
1810018F18Rik,0,20.0226061,28.95554193,50.07814946,9.874557726,5.986637165,21.30040572,0,2.658505729,5.409549976
1810020O05Rik,49.56866087,33.6888496,0,11.76056984,12.18998505,3.844113299,10.47056314,8.767975773,0,14.17926356
1810024B03Rik,0,8.264985184,1.149365699,10.42601172,26.14549865,17.02810227,4.131078542,26.25660507,1.600812525,21.41594238
1810030O07Rik,144.5711739,75.6971221,166.940839,107.0335675,148.6416802,132.8399587,74.54215358,120.101345,174.8950015,298.2534781
1810037I17Rik,0,21.87229529,7.936937994,16.12834891,33.63255129,14.963963,26.22659196,33.08756732,15.51288198,36.917506
1810046K07Rik,0,3.02117864,0,7.68912436,1.06725981,0,8.062985721,7.577332013,11.24400015,12.48383928
1810049J17Rik,0,0,0,0,0,1.861429316,1.591654117,0,0,0
1810055G02Rik,4.2779118,22.55325562,6.243557294,22.4909833,31.99979037,0,15.73967037,14.52358738,292.2044493,27.79166958
1810058I24Rik,8.431501416,164.6996825,54.32099379,57.85869411,70.89613885,47.71335275,44.73064252,22.29490199,13.61487897,5.481483147
1810062G17Rik,0,0.5000535,0,3.819555736,4.196709727,11.2217472,0,0,0,4.93067857
1810065E05Rik,0,3.496655905,19.01065945,0,1.048517204,0,6.360998105,0,0,1.231547042
2010003K11Rik,0,1.491083955,14.28675014,3.794412775,4.204219664,11.22299499,17.48390154,17.07654609,2.2160955,1.230542616
2010010A06Rik,45.57090913,2.406883949,2.318942526,2.133743348,0,35.28933494,2.940396002,0,10.4909513,1.013586109
2010106E10Rik,0,2.967429195,0,0,0,0,0,7.441554458,0,9.80782053
2010109A12Rik,0,1.33116355,0,0,3.499867819,6.238526351,3.981608032,0,0,2.055745982
2010315B03Rik,55.26898319,43.27164745,0,77.7305066,35.21539237,26.85399961,49.87896042,11.6664534,50.46777838,50.77948539
2200002D01Rik,0,9.173769934,0,21.92310447,1.165794427,3.108690753,13.48841308,14.47244863,11.04362368,5.447511386
2200002J24Rik,0,2.28752949,0,0,0,0,0,0,8.571266054,0
2210010C04Rik,16.35699352,3.939902327,0,0.940569577,2.107287301,20.57984848,7.139694642,14.89058737,6.642733584,1.227928065
2210016F16Rik,436.5374785,263.7332815,305.2906456,305.8374542,274.1444995,271.2907582,301.2839622,260.3091815,267.84982,366.9067776
2210016L21Rik,32.53023304,27.53858226,18.96148156,14.3115935,22.0829816,18.77819371,77.47895089,10.5643964,50.70528782,40.11821942
2210017I01Rik,27.09093356,7.515924922,0,4.797011001,11.54396839,31.83524586,0,8.585806042,2.221243614,16.06001852
